pathway,31 ACACA,32 ACACB,197322 ACSF3,4706 NDUFAB1,27349 MCAT,2194 FASN,54995 OXSM,84869 CBR4,7923 HSD17B8,109703458 HTD2,51102 MECR,55301 OLAH,23305 ACSL6,2182 ACSL4,2180 ACSL1,51703 ACSL5,2181 ACSL3,23205 ACSBG1,81616 ACSBG2,10449 ACAA2,3032 HADHB,3033 HADH,3030 HADHA,1892 ECHS1,5538 PPT1,9374 PPT2,64834 ELOVL1,54898 ELOVL2,83401 ELOVL3,6785 ELOVL4,60481 ELOVL5,79071 ELOVL6,79993 ELOVL7,51144 HSD17B12,201562 HACD2,9200 HACD1,401494 HACD4,51495 HACD3,9524 TECR,122970 ACOT4,10965 ACOT2,641371 ACOT1,11332 ACOT7,117145 THEM4,284486 THEM5,39 ACAT2,38 ACAT1,30 ACAA1,1962 EHHADH,8310 ACOX3,51 ACOX1,35 ACADS,34 ACADM,33 ACADL,36 ACADSB,37 ACADVL,2639 GCDH,1374 CPT1A,1375 CPT1B,126129 CPT1C,1376 CPT2,1632 ECI1,10455 ECI2,113612 CYP2U1,124 ADH1A,125 ADH1B,126 ADH1C,131 ADH7,127 ADH4,128 ADH5,130 ADH6,217 ALDH2,224 ALDH3A2,219 ALDH1B1,501 ALDH7A1,223 ALDH9A1,55711 FAR2,84188 FAR1,2222 FDFT1,6713 SQLE,4047 LSS,1595 CYP51A1,7108 TM7SF2,3930 LBR,6307 MSMO1,50814 NSDHL,51478 HSD17B7,10682 EBP,1718 DHCR24,6309 SC5D,1717 DHCR7,3988 LIPA,1056 CEL,8435 SOAT2,6646 SOAT1,120227 CYP2R1,1594 CYP27B1,1591 CYP24A1,10858 CYP46A1,51302 CYP39A1,80270 HSD3B7,9023 CH25H,9420 CYP7B1,1581 CYP7A1,1593 CYP27A1,1582 CYP8B1,6718 AKR1D1,1109 AKR1C4,10998 SLC27A5,23600 AMACR,8309 ACOX2,3295 HSD17B4,6342 SCP2,10005 ACOT8,570 BAAT,1583 CYP11A1,1586 CYP17A1,412 STS,6820 SULT2B1,1589 CYP21A2,3283 HSD3B1,3284 HSD3B2,6715 SRD5A1,6716 SRD5A2,79644 SRD5A3,1646 AKR1C2,8644 AKR1C3,1584 CYP11B1,1585 CYP11B2,3290 HSD11B1,374875 HSD11B1L,3291 HSD11B2,1645 AKR1C1,6783 SULT1E1,3292 HSD17B1,3294 HSD17B2,8630 HSD17B6,79154 DHRS11,1543 CYP1A1,1544 CYP1A2,1577 CYP3A5,1551 CYP3A7,100861540 CYP3A7-CYP3A51P,1571 CYP2E1,1576 CYP3A4,1545 CYP1B1,1588 CYP19A1,10941 UGT2A1,79799 UGT2A3,7367 UGT2B17,10720 UGT2B11,54490 UGT2B28,54578 UGT1A6,54657 UGT1A4,54658 UGT1A1,54659 UGT1A3,7365 UGT2B10,54600 UGT1A9,7364 UGT2B7,54575 UGT1A10,54576 UGT1A8,54579 UGT1A5,7366 UGT2B15,54577 UGT1A7,7363 UGT2B4,574537 UGT2A2,1312 COMT,220074 LRTOMT,3293 HSD17B3,132158 GLYCTK,231 AKR1B1,57016 AKR1B10,10327 AKR1A1,26007 TKFC,2712 GK2,2710 GK,57678 GPAM,150763 GPAT2,137964 GPAT4,84803 GPAT3,10554 AGPAT1,10555 AGPAT2,56894 AGPAT3,56895 AGPAT4,55326 AGPAT5,253558 LCLAT1,154141 MBOAT1,129642 MBOAT2,8611 PLPP1,8613 PLPP3,8612 PLPP2,23175 LPIN1,64900 LPIN3,9663 LPIN2,84513 PLPP5,196051 PLPP4,8525 DGKZ,8527 DGKD,9162 DGKI,1606 DGKA,8526 DGKE,1607 DGKB,160851 DGKH,1608 DGKG,1609 DGKQ,139189 DGKK,8694 DGAT1,84649 DGAT2,346606 MOGAT3,57104 PNPLA2,80339 PNPLA3,5406 PNLIP,5407 PNLIPRP1,5408 PNLIPRP2,119548 PNLIPRP3,3990 LIPC,8513 LIPF,9388 LIPG,4023 LPL,55750 AGK,11343 MGLL,116255 MOGAT1,80168 MOGAT2,2717 GLA,23171 GPD1L,2819 GPD1,2820 GPD2,8443 GNPAT,56985 ADPRM,56994 CHPT1,10390 CEPT1,5337 PLD1,5338 PLD2,23646 PLD3,122618 PLD4,3931 LCAT,8399 PLA2G10,26279 PLA2G2D,30814 PLA2G2E,50487 PLA2G3,64600 PLA2G2F,81579 PLA2G12A,84647 PLA2G12B,5319 PLA2G1B,5322 PLA2G5,5320 PLA2G2A,391013 PLA2G2C,123745 PLA2G4E,5321 PLA2G4A,8681 JMJD7-PLA2G4B,100137049 PLA2G4B,8605 PLA2G4C,283748 PLA2G4D,255189 PLA2G4F,8398 PLA2G6,151056 PLB1,11145 PLAAT3,54947 LPCAT2,79888 LPCAT1,254531 LPCAT4,10162 LPCAT3,10434 LYPLA1,23659 PLA2G15,11313 LYPLA2,10908 PNPLA6,375775 PNPLA7,56261 GPCPD1,1103 CHAT,43 ACHE,1119 CHKA,1120 CHKB,162466 PHOSPHO1,9468 PCYT1B,5130 PCYT1A,85465 SELENOI,55500 ETNK1,55224 ETNK2,5833 PCYT2,64850 ETNPPL,10400 PEMT,1040 CDS1,8760 CDS2,51365 PLA1A,9791 PTDSS1,81490 PTDSS2,23761 PISD,9489 PGS1,54675 CRLS1,6901 TAFAZZIN,9926 LPGAT1,10423 CDIPT,79143 MBOAT7,8540 AGPS,387521 PEDS1,387522 PEDS1-UBE2V1,133121 ENPP6,5168 ENPP2,79153 GDPD3,284161 GDPD1,255043 TMEM86B,7368 UGT8,9514 GAL3ST1,5048 PAFAH1B1,5049 PAFAH1B2,5050 PAFAH1B3,7941 PLA2G7,5051 PAFAH2,5742 PTGS1,5743 PTGS2,9536 PTGES,80142 PTGES2,10728 PTGES3,873 CBR1,874 CBR3,127281 PRXL2B,6916 TBXAS1,5730 PTGDS,27306 HPGDS,5740 PTGIS,240 ALOX5,4048 LTA4H,8529 CYP4F2,4051 CYP4F3,4056 LTC4S,2678 GGT1,2687 GGT5,257202 GPX6,2882 GPX7,2877 GPX2,2878 GPX3,2876 GPX1,2880 GPX5,493869 GPX8,1573 CYP2J2,1557 CYP2C19,11283 CYP4F8,239 ALOX12,242 ALOX12B,247 ALOX15B,1555 CYP2B6,1558 CYP2C8,1559 CYP2C9,2053 EPHX2,246 ALOX15,9415 FADS2,10558 SPTLC1,9517 SPTLC2,55304 SPTLC3,2531 KDSR,10715 CERS1,29956 CERS2,79603 CERS4,204219 CERS3,253782 CERS6,91012 CERS5,427 ASAH1,56624 ASAH2,340485 ACER2,125981 ACER1,55331 ACER3,8560 DEGS1,123099 DEGS2,259230 SGMS1,166929 SGMS2,6609 SMPD1,6610 SMPD2,55512 SMPD3,55627 SMPD4,339221 ENPP7,64781 CERK,81537 SGPP1,130367 SGPP2,8877 SPHK1,56848 SPHK2,8879 SGPL1,7357 UGCG,2629 GBA,57704 GBA2,9331 B4GALT6,2720 GLB1,2581 GALC,410 ARSA,4758 NEU1,10825 NEU3,129807 NEU4,4759 NEU2,5660 PSAP,768239 PSAPL1,6319 SCD,79966 SCD5,3992 FADS1
has00061 Fatty acid biosynthesis ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00062 Fatty acid elongation ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00071 Fatty acid degradation ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"has00073 Cutin, suberine and wax biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
