pathway,948 CD36,376497 SLC27A1,10999 SLC27A4,11001 SLC27A2,10998 SLC27A5,28965 SLC27A6,2168 FABP1,2169 FABP2,2170 FABP3,2167 FABP4,2171 FABP5,2172 FABP6,2173 FABP7,5465 PPARA,6256 RXRA,6257 RXRB,6258 RXRG,5467 PPARD,5468 PPARG,3157 HMGCS1,3158 HMGCS2,335 APOA1,336 APOA2,345 APOC3,116519 APOA5,5360 PLTP,10873 ME3,4199 ME1,9415 FADS2,6319 SCD,79966 SCD5,1581 CYP7A1,1582 CYP8B1,10062 NR1H3,1593 CYP27A1,1622 DBI,4023 LPL,23305 ACSL6,2182 ACSL4,2180 ACSL1,51703 ACSL5,2181 ACSL3,23205 ACSBG1,81616 ACSBG2,4973 OLR1,1962 EHHADH,30 ACAA1,6342 SCP2,8310 ACOX3,51 ACOX1,8309 ACOX2,1374 CPT1A,1375 CPT1B,126129 CPT1C,1376 CPT2,33 ACADL,34 ACADM,51129 ANGPTL4,10580 SORBS1,5346 PLIN1,123 PLIN2,729359 PLIN4,440503 PLIN5,9370 ADIPOQ,4312 MMP1,7350 UCP1,3611 ILK,5170 PDPK1,7316 UBC,5105 PCK1,5106 PCK2,2712 GK2,2710 GK,364 AQP7,183 AGT,5972 REN,1636 ACE,1215 CMA1,1511 CTSG,3817 KLK2,3816 KLK1,2028 ENPEP,290 ANPEP,5550 PREP,59272 ACE2,5476 CTSA,1359 CPA3,4311 MME,7064 THOP1,57486 NLN,5547 PRCP,4142 MAS1,116512 MRGPRD,185 AGTR1,186 AGTR2,4012 LNPEP,10159 ATP6AP2,3630 INS,3643 INSR,3667 IRS1,8660 IRS2,8471 IRS4,5295 PIK3R1,5296 PIK3R2,8503 PIK3R3,5290 PIK3CA,5293 PIK3CD,5291 PIK3CB,207 AKT1,208 AKT2,10000 AKT3,2932 GSK3B,2998 GYS2,2997 GYS1,5499 PPP1CA,5500 PPP1CB,5501 PPP1CC,5506 PPP1R3A,5507 PPP1R3C,5509 PPP1R3D,79660 PPP1R3B,90673 PPP1R3E,89801 PPP1R3F,5260 PHKG1,5261 PHKG2,5257 PHKB,5256 PHKA2,5255 PHKA1,810 CALML3,805 CALM2,808 CALM3,801 CALM1,163688 CALML6,51806 CALML5,91860 CALML4,5836 PYGL,5837 PYGM,5834 PYGB,5140 PDE3B,5566 PRKACA,5567 PRKACB,5568 PRKACG,5573 PRKAR1A,5576 PRKAR2A,5577 PRKAR2B,5575 PRKAR1B,3991 LIPE,5590 PRKCZ,5584 PRKCI,6517 SLC2A4,2319 FLOT2,10211 FLOT1,10603 SH2B2,867 CBL,868 CBLB,1398 CRK,1399 CRKL,2889 RAPGEF1,23433 RHOQ,23265 EXOC7,9322 TRIP10,6720 SREBF1,31 ACACA,32 ACACB,2194 FASN,5313 PKLR,3101 HK3,3098 HK1,3099 HK2,80201 HKDC1,2645 GCK,5562 PRKAA1,5563 PRKAA2,5564 PRKAB1,5565 PRKAB2,5571 PRKAG1,53632 PRKAG3,51422 PRKAG2,2308 FOXO1,10891 PPARGC1A,2538 G6PC1,57818 G6PC2,92579 G6PC3,2203 FBP1,8789 FBP2,2475 MTOR,57521 RPTOR,6198 RPS6KB1,6199 RPS6KB2,6194 RPS6,1978 EIF4EBP1,1977 EIF4E,9470 EIF4E2,253314 EIF4E1B,7248 TSC1,7249 TSC2,6009 RHEB,572 BAD,6464 SHC1,25759 SHC2,53358 SHC3,399694 SHC4,2885 GRB2,6654 SOS1,6655 SOS2,3265 HRAS,3845 KRAS,4893 NRAS,369 ARAF,673 BRAF,5894 RAF1,5604 MAP2K1,5605 MAP2K2,5594 MAPK1,5595 MAPK3,8569 MKNK1,2872 MKNK2,2002 ELK1,8651 SOCS1,8835 SOCS2,9021 SOCS3,122809 SOCS4,5770 PTPN1,5792 PTPRF,5599 MAPK8,5602 MAPK10,5601 MAPK9,3551 IKBKB,3636 INPPL1,3632 INPP5A,6513 SLC2A1,6514 SLC2A2,54795 TRPM4,476 ATP1A1,477 ATP1A2,478 ATP1A3,480 ATP1A4,23439 ATP1B4,481 ATP1B1,482 ATP1B2,483 ATP1B3,486 FXYD2,6833 ABCC8,3767 KCNJ11,775 CACNA1C,776 CACNA1D,778 CACNA1F,779 CACNA1S,815 CAMK2A,817 CAMK2D,816 CAMK2B,818 CAMK2G,3778 KCNMA1,157855 KCNU1,3779 KCNMB1,10242 KCNMB2,27094 KCNMB3,27345 KCNMB4,3780 KCNN1,3781 KCNN2,3782 KCNN3,3783 KCNN4,2641 GCG,2740 GLP1R,2695 GIP,139760 GPR119,116 ADCYAP1,117 ADCYAP1R1,2778 GNAS,107 ADCY1,108 ADCY2,109 ADCY3,196883 ADCY4,111 ADCY5,112 ADCY6,113 ADCY7,114 ADCY8,115 ADCY9,1385 CREB1,1386 ATF2,468 ATF4,10488 CREB3,90993 CREB3L1,64764 CREB3L2,84699 CREB3L3,148327 CREB3L4,9586 CREB5,1388 ATF6B,3651 PDX1,11069 RAPGEF4,9699 RIMS2,27445 PCLO,5864 RAB3A,885 CCK,886 CCKAR,1131 CHRM3,2864 FFAR1,2776 GNAQ,2767 GNA11,23236 PLCB1,5330 PLCB2,5331 PLCB3,5332 PLCB4,3710 ITPR3,6262 RYR2,6844 VAMP2,6804 STX1A,6616 SNAP25,5578 PRKCA,5579 PRKCB,5582 PRKCG,2796 GNRH1,2797 GNRH2,2798 GNRHR,3708 ITPR1,3709 ITPR2,5580 PRKCD,4214 MAP3K1,10746 MAP3K2,4215 MAP3K3,4216 MAP3K4,5606 MAP2K3,5608 MAP2K6,5600 MAPK11,6300 MAPK12,5603 MAPK13,1432 MAPK14,5598 MAPK7,123745 PLA2G4E,5321 PLA2G4A,8681 JMJD7-PLA2G4B,100137049 PLA2G4B,8605 PLA2G4C,283748 PLA2G4D,255189 PLA2G4F,5337 PLD1,5338 PLD2,6714 SRC,998 CDC42,6416 MAP2K4,5609 MAP2K7,3725 JUN,3972 LHB,1081 CGA,2488 FSHB,2185 PTK2B,4313 MMP2,4323 MMP14,1839 HBEGF,1956 EGFR,1958 EGR1,3973 LHCGR,122970 ACOT4,10965 ACOT2,641371 ACOT1,240 ALOX5,1573 CYP2J2,5743 PTGS2,3479 IGF1,3480 IGF1R,3949 LDLR,949 SCARB1,6770 STAR,1583 CYP11A1,1586 CYP17A1,3292 HSD17B1,3294 HSD17B2,8644 AKR1C3,51478 HSD17B7,3283 HSD3B1,3284 HSD3B2,2492 FSHR,1588 CYP19A1,1545 CYP1B1,1543 CYP1A1,9210 BMP15,654 BMP6,5241 PGR,2770 GNAI1,2773 GNAI3,2771 GNAI2,6790 AURKA,64506 CPEB1,132864 CPEB2,22849 CPEB3,80315 CPEB4,245711 SPDYA,387778 SPDYC,100310812 SPDYE2B,100505767 SPDYE18,100996746 SPDYE11,102723555 SPDYE16,102723849 SPDYE17,285955 SPDYE1,388333 SPDYE4,441272 SPDYE3,441273 SPDYE2,442590 SPDYE5,729597 SPDYE6,105180391 SPDYE15,1017 CDK2,983 CDK1,890 CCNA2,8900 CCNA1,4342 MOS,3320 HSP90AA1,3326 HSP90AB1,6197 RPS6KA3,6195 RPS6KA1,6196 RPS6KA2,27330 RPS6KA6,9088 PKMYT1,891 CCNB1,9133 CCNB2,85417 CCNB3,6793 STK10,5347 PLK1,993 CDC25A,994 CDC25B,995 CDC25C,699 BUB1,8379 MAD1L1,4085 MAD2L1,10459 MAD2L2,51343 FZR1,64682 ANAPC1,29882 ANAPC2,996 CDC27,29945 ANAPC4,51433 ANAPC5,8881 CDC16,51434 ANAPC7,8697 CDC23,10393 ANAPC10,51529 ANAPC11,246184 CDC26,25847 ANAPC13,25906 ANAPC15,119504 ANAPC16,3835 KIF22,2099 ESR1,2100 ESR2,7184 HSP90B1,2288 FKBP4,2289 FKBP5,3312 HSPA8,3303 HSPA1A,3306 HSPA2,3305 HSPA1L,3304 HSPA1B,3310 HSPA6,8648 NCOA1,10499 NCOA2,8202 NCOA3,596 BCL2,9166 EBAG9,3857 KRT9,3858 KRT10,3859 KRT12,3860 KRT13,3861 KRT14,3866 KRT15,3868 KRT16,3872 KRT17,3875 KRT18,3880 KRT19,3881 KRT31,3882 KRT32,3883 KRT33A,3884 KRT33B,3885 KRT34,3886 KRT35,125115 KRT40,390792 KRT39,25984 KRT23,147183 KRT25,162605 KRT28,192666 KRT24,342574 KRT27,54474 KRT20,8687 KRT38,8688 KRT37,8689 KRT36,100653049 keratin,353288 KRT26,1509 CTSD,7031 TFF1,7039 TGFA,5914 RARA,2353 FOS,6667 SP1,2852 GPER1,4318 MMP9,2550 GABBR1,9568 GABBR2,2775 GNAO1,3760 KCNJ3,3763 KCNJ6,3765 KCNJ9,3762 KCNJ5,5443 POMC,4988 OPRM1,4846 NOS3,2911 GRM1,434 ASIP,4157 MC1R,1387 CREBBP,2033 EP300,4286 MITF,7471 WNT1,7472 WNT2,7482 WNT2B,7473 WNT3,89780 WNT3A,54361 WNT4,7474 WNT5A,81029 WNT5B,7475 WNT6,7476 WNT7A,7477 WNT7B,7478 WNT8A,7479 WNT8B,7483 WNT9A,7484 WNT9B,7480 WNT10B,80326 WNT10A,7481 WNT11,51384 WNT16,8321 FZD1,8324 FZD7,2535 FZD2,7976 FZD3,8322 FZD4,7855 FZD5,8325 FZD8,8323 FZD6,11211 FZD10,8326 FZD9,1857 DVL3,1856 DVL2,1855 DVL1,1499 CTNNB1,6932 TCF7,83439 TCF7L1,6934 TCF7L2,51176 LEF1,4254 KITLG,3815 KIT,7299 TYR,7306 TYRP1,1638 DCT,1906 EDN1,1910 EDNRB,5617 PRL,5618 PRLR,3717 JAK2,2309 FOXO3,2592 GALT,595 CCND1,1154 CISH,9655 SOCS5,30837 SOCS7,9306 SOCS6,6772 STAT1,6774 STAT3,6776 STAT5A,6777 STAT5B,8600 TNFSF11,8792 TNFRSF11A,4790 NFKB1,5970 RELA,2001 ELF5,1447 CSN2,3659 IRF1,7054 TH,894 CCND2,7252 TSHB,7253 TSHR,7270 TTF1,8458 TTF2,7849 PAX8,7038 TG,3309 HSPA5,821 CANX,9601 PDIA4,432 ASGR1,433 ASGR2,6528 SLC5A5,5172 SLC26A4,7173 TPO,389434 IYD,405753 DUOXA2,53905 DUOX1,50506 DUOX2,257202 GPX6,2882 GPX7,2877 GPX2,2878 GPX3,2876 GPX1,2880 GPX5,493869 GPX8,2936 GSR,213 ALB,7276 TTR,6906 SERPINA7,4036 LRP2,3685 ITGAV,3690 ITGB3,7157 TP53,7068 THRB,9611 NCOR1,25942 SIN3A,3065 HDAC1,3066 HDAC2,8841 HDAC3,7067 THRA,8850 KAT2B,2648 KAT2A,29079 MED4,116931 MED12L,9968 MED12,23389 MED13L,9969 MED13,9282 MED14,10025 MED16,9440 MED17,9862 MED24,9442 MED27,90390 MED30,5469 MED1,2626 GATA4,1827 RCAN1,3091 HIF1A,4609 MYC,4625 MYH7,4624 MYH6,487 ATP2A1,489 ATP2A3,488 ATP2A2,5350 PLN,4851 NOTCH1,4853 NOTCH2,4854 NOTCH3,4855 NOTCH4,652 BMP4,5333 PLCD1,113026 PLCD3,84812 PLCD4,51196 PLCE1,5335 PLCG1,5336 PLCG2,89869 PLCZ1,6548 SLC9A1,6567 SLC16A2,117247 SLC16A10,4193 MDM2,9882 TBC1D4,5208 PFKFB2,842 CASP9,10231 RCAN2,5213 PFKM,5214 PFKP,5211 PFKL,53919 SLCO1C1,1733 DIO1,1734 DIO2,1735 DIO3,71 ACTG1,60 ACTB,7124 TNF,7132 TNFRSF1A,8717 TRADD,7133 TNFRSF1B,7186 TRAF2,1147 CHUK,8517 IKBKG,4792 NFKBIA,4793 NFKBIB,4794 NFKBIE,5588 PRKCQ,3952 LEP,3953 LEPR,181 AGRP,4852 NPY,5781 PTPN11,51094 ADIPOR1,79602 ADIPOR2,6794 STK11,10645 CAMKK2,5020 OXT,5021 OXTR,5607 MAP2K5,4208 MEF2C,6261 RYR1,6263 RYR3,952 CD38,7226 TRPM2,3759 KCNJ2,3768 KCNJ12,100134444 KCNJ18,3761 KCNJ4,3770 KCNJ14,29904 EEF2K,1938 EEF2,782 CACNB1,783 CACNB2,784 CACNB3,785 CACNB4,781 CACNA2D1,9254 CACNA2D2,55799 CACNA2D3,93589 CACNA2D4,786 CACNG1,10369 CACNG2,10368 CACNG3,27092 CACNG4,27091 CACNG5,59285 CACNG6,59284 CACNG7,59283 CACNG8,5530 PPP3CA,5532 PPP3CB,5533 PPP3CC,5534 PPP3R1,5535 PPP3R2,4772 NFATC1,4773 NFATC2,4775 NFATC3,4776 NFATC4,5997 RGS2,57118 CAMK1D,57172 CAMK1G,8536 CAMK1,814 CAMK4,2977 GUCY1A2,2982 GUCY1A1,2983 GUCY1B1,4878 NPPA,4881 NPR1,4882 NPR2,4638 MYLK,85366 MYLK2,91807 MYLK3,340156 MYLK4,140465 MYL6B,4637 MYL6,10398 MYL9,387 RHOA,6093 ROCK1,9475 ROCK2,4659 PPP1R12A,4660 PPP1R12B,54776 PPP1R12C,5294 PIK3CG,23533 PIK3R5,146850 PIK3R6,1026 CDKN1A,2642 GCGR,55671 PPP4R3A,57223 PPP4R3B,139420 PPP4R3C,5531 PPP4C,200186 CRTC2,23235 SIK2,102724428 SIK1B,150094 SIK1,23411 SIRT1,3276 PRMT1,5207 PFKFB1,5223 PGAM1,5224 PGAM2,441531 PGAM4,5315 PKM,5161 PDHA2,5160 PDHA1,5162 PDHB,160287 LDHAL6A,92483 LDHAL6B,3939 LDHA,3945 LDHB,3948 LDHC,153 ADRB1,154 ADRB2,155 ADRB3,5592 PRKG1,5593 PRKG2,57104 PNPLA2,51099 ABHD5,11343 MGLL,11145 PLAAT3,5742 PTGS1,134 ADORA1,5733 PTGER3,4886 NPY1R,358 AQP1,5732 PTGER2,5734 PTGER4,5136 PDE1A,5153 PDE1B,5137 PDE1C,5139 PDE3A,84876 ORAI1,1179 CLCA1,9635 CLCA2,22802 CLCA4,1907 EDN2,1908 EDN3,1909 EDNRA,1508 CTSB,5581 PRKCE,5587 PRKD1,23683 PRKD3,25865 PRKD2,466 ATF1,747 DAGLA,221955 DAGLB,3777 KCNK3,51305 KCNK9,8913 CACNA1G,8912 CACNA1H,8911 CACNA1I,490 ATP2B1,492 ATP2B3,493 ATP2B4,491 ATP2B2,4158 MC2R,1585 CYP11B2,4929 NR4A2,3164 NR4A1,1589 CYP21A2,5138 PDE2A,6013 RLN1,6019 RLN2,59350 RXFP1,2782 GNB1,2783 GNB2,2784 GNB3,59345 GNB4,10681 GNB5,54331 GNG2,2785 GNG3,2786 GNG4,2787 GNG5,2788 GNG7,94235 GNG8,2790 GNG10,2791 GNG11,55970 GNG12,51764 GNG13,2792 GNGT1,2793 GNGT2,7422 VEGFA,7423 VEGFB,7424 VEGFC,2277 VEGFD,4843 NOS2,4842 NOS1,4322 MMP13,7040 TGFB1,7046 TGFBR1,7048 TGFBR2,4087 SMAD2,59 ACTA2,1277 COL1A1,1278 COL1A2,1281 COL3A1,1284 COL4A2,1286 COL4A4,1288 COL4A6,1282 COL4A1,1287 COL4A5,1285 COL4A3,3640 INSL3,122042 RXFP2,117579 RLN3,51289 RXFP3,408 ARRB1,409 ARRB2,10022 INSL5,339403 RXFP4,2769 GNA15,56246 MRAP,8622 PDE8B,5151 PDE8A,190 NR0B1,2516 NR5A1,5087 PBX1,1584 CYP11B1,57552 NCEH1,3776 KCNK2,3739 KCNA4,846 CASR,8521 GCM1,9247 GCM2,9935 MAFB,2625 GATA3,7421 VDR,8074 FGF23,2260 FGFR1,9365 KL,5741 PTH,5744 PTHLH,5745 PTH1R,56302 TRPV5,6569 SLC34A1,10568 SLC34A2,142680 SLC34A3,9368 SLC9A3R1,5141 PDE4A,5142 PDE4B,5143 PDE4C,5144 PDE4D,1594 CYP27B1,1591 CYP24A1,4205 MEF2A,4209 MEF2D,50964 SOST,4666 NACA,3727 JUND,632 BGLAP,4041 LRP5,4040 LRP6,860 RUNX2,2768 GNA12,10672 GNA13,9138 ARHGEF1,9826 ARHGEF11,11214 AKAP13,4324 MMP15,4325 MMP16,4326 MMP17,10893 MMP24,64386 MMP25,3814 KISS1,84634 KISS1R,348980 HCN1,610 HCN2,57657 HCN3,7220 TRPC1,7223 TRPC4,7224 TRPC5,6696 SPP1,2691 GHRH,2692 GHRHR,55811 ADCY10,6750 SST,6751 SSTR1,6752 SSTR2,6753 SSTR3,6755 SSTR5,5449 POU1F1,2688 GH1,2689 GH2,1442 CSH1,1443 CSH2,51738 GHRL,2693 GHSR,2690 GHR,3726 JUNB,3483 IGFALS,3486 IGFBP3,5747 PTK2,9564 BCAR1
has03320 PPAR signaling pathway ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
