pathway,2890 GRIA1,2891 GRIA2,107 ADCY1,114 ADCY8,5566 PRKACA,5567 PRKACB,5568 PRKACG,5502 PPP1R1A,5499 PPP1CA,5500 PPP1CB,5501 PPP1CC,815 CAMK2A,817 CAMK2D,816 CAMK2B,818 CAMK2G,10411 RAPGEF3,5906 RAP1A,5908 RAP1B,5530 PPP3CA,5532 PPP3CB,5533 PPP3CC,5534 PPP3R1,5535 PPP3R2,2902 GRIN1,2903 GRIN2A,2904 GRIN2B,2905 GRIN2C,2906 GRIN2D,775 CACNA1C,810 CALML3,805 CALM2,808 CALM3,801 CALM1,163688 CALML6,51806 CALML5,91860 CALML4,1387 CREBBP,2033 EP300,468 ATF4,814 CAMK4,3265 HRAS,3845 KRAS,4893 NRAS,369 ARAF,673 BRAF,5894 RAF1,5604 MAP2K1,5605 MAP2K2,5594 MAPK1,5595 MAPK3,6197 RPS6KA3,6195 RPS6KA1,6196 RPS6KA2,27330 RPS6KA6,3708 ITPR1,3709 ITPR2,3710 ITPR3,5578 PRKCA,5579 PRKCB,5582 PRKCG,2911 GRM1,2915 GRM5,2776 GNAQ,23236 PLCB1,5330 PLCB2,5331 PLCB3,5332 PLCB4,140679 SLC32A1,6570 SLC18A1,6571 SLC18A2,6572 SLC18A3,57084 SLC17A6,246213 SLC17A8,57030 SLC17A7,6857 SYT1,6844 VAMP2,5864 RAB3A,22999 RIMS1,6804 STX1A,2054 STX2,6809 STX3,112755 STX1B,6812 STXBP1,23025 UNC13A,10497 UNC13B,440279 UNC13C,6616 SNAP25,10815 CPLX1,10814 CPLX2,594855 CPLX3,339302 CPLX4,773 CACNA1A,774 CACNA1B,4905 NSF,8775 NAPA,1759 DNM1,26052 DNM3,1785 DNM2,1211 CLTA,1212 CLTB,1213 CLTC,8218 CLTCL1,161 AP2A2,160 AP2A1,163 AP2B1,1173 AP2M1,1175 AP2S1,523 ATP6V1A,525 ATP6V1B1,526 ATP6V1B2,245973 ATP6V1C2,528 ATP6V1C1,51382 ATP6V1D,90423 ATP6V1E2,529 ATP6V1E1,9296 ATP6V1F,9550 ATP6V1G1,127124 ATP6V1G3,534 ATP6V1G2,8992 ATP6V0E1,155066 ATP6V0E2,10312 TCIRG1,23545 ATP6V0A2,50617 ATP6V0A4,535 ATP6V0A1,9114 ATP6V0D1,245972 ATP6V0D2,51606 ATP6V1H,527 ATP6V0C,533 ATP6V0B,6529 SLC6A1,6530 SLC6A2,6531 SLC6A3,6532 SLC6A4,9152 SLC6A5,6536 SLC6A9,6534 SLC6A7,6538 SLC6A11,6539 SLC6A12,6540 SLC6A13,6505 SLC1A1,6506 SLC1A2,6507 SLC1A3,6511 SLC1A6,6512 SLC1A7,4803 NGF,627 BDNF,4909 NTF4,4908 NTF3,4914 NTRK1,4915 NTRK2,4916 NTRK3,10603 SH2B2,25970 SH2B1,10019 SH2B3,2885 GRB2,6654 SOS1,6655 SOS2,9252 RPS6KA5,596 BCL2,57498 KIDINS220,10818 FRS2,1398 CRK,1399 CRKL,2889 RAPGEF1,4215 MAP3K3,5607 MAP2K5,5598 MAPK7,5600 MAPK11,6300 MAPK12,5603 MAPK13,1432 MAPK14,9261 MAPKAPK2,6464 SHC1,25759 SHC2,53358 SHC3,399694 SHC4,2549 GAB1,5295 PIK3R1,5296 PIK3R2,8503 PIK3R3,5290 PIK3CA,5293 PIK3CD,5291 PIK3CB,207 AKT1,208 AKT2,10000 AKT3,4793 NFKBIB,4792 NFKBIA,4794 NFKBIE,4790 NFKB1,5970 RELA,2309 FOXO3,356 FASLG,572 BAD,2932 GSK3B,5170 PDPK1,3667 IRS1,5335 PLCG1,5336 PLCG2,5580 PRKCD,25 ABL1,5781 PTPN11,4145 MATK,4804 NGFR,397 ARHGDIB,396 ARHGDIA,398 ARHGDIG,387 RHOA,998 CDC42,5879 RAC1,4214 MAP3K1,4217 MAP3K5,5609 MAP2K7,5599 MAPK8,5602 MAPK10,5601 MAPK9,3725 JUN,7157 TP53,581 BAX,7161 TP73,7189 TRAF6,10782 ZNF274,11108 PRDM4,9500 MAGED1,27018 BEX3,7531 YWHAE,8767 RIPK2,3654 IRAK1,3656 IRAK2,11213 IRAK3,51135 IRAK4,3551 IKBKB,6272 SORT1,5663 PSEN1,5664 PSEN2,2892 GRIA3,2893 GRIA4,776 CACNA1D,778 CACNA1F,779 CACNA1S,222236 NAPEPLD,747 DAGLA,221955 DAGLB,5743 PTGS2,57406 ABHD6,2166 FAAH,1268 CNR1,2770 GNAI1,2773 GNAI3,2771 GNAI2,2775 GNAO1,2782 GNB1,2783 GNB2,2784 GNB3,59345 GNB4,10681 GNB5,54331 GNG2,2785 GNG3,2786 GNG4,2787 GNG5,2788 GNG7,94235 GNG8,2790 GNG10,2791 GNG11,55970 GNG12,51764 GNG13,2792 GNGT1,2793 GNGT2,3760 KCNJ3,3763 KCNJ6,3765 KCNJ9,3762 KCNJ5,108 ADCY2,109 ADCY3,196883 ADCY4,111 ADCY5,112 ADCY6,113 ADCY7,115 ADCY9,11343 MGLL,4535 ND1,4536 ND2,4537 ND3,4538 ND4,4539 ND4L,4540 ND5,4541 ND6,4723 NDUFV1,4729 NDUFV2,4731 NDUFV3,4694 NDUFA1,4695 NDUFA2,4696 NDUFA3,4697 NDUFA4,56901 NDUFA4L2,4698 NDUFA5,4700 NDUFA6,4701 NDUFA7,4702 NDUFA8,4704 NDUFA9,4705 NDUFA10,4706 NDUFAB1,126328 NDUFA11,55967 NDUFA12,51079 NDUFA13,4707 NDUFB1,4708 NDUFB2,4709 NDUFB3,4710 NDUFB4,4711 NDUFB5,4712 NDUFB6,4713 NDUFB7,4714 NDUFB8,4715 NDUFB9,4716 NDUFB10,54539 NDUFB11,4719 NDUFS1,4720 NDUFS2,4722 NDUFS3,4724 NDUFS4,4725 NDUFS5,4726 NDUFS6,374291 NDUFS7,4728 NDUFS8,4717 NDUFC1,4718 NDUFC2,100532726 NDUFC2-KCTD14,2554 GABRA1,2555 GABRA2,2556 GABRA3,2557 GABRA4,2558 GABRA5,2559 GABRA6,2560 GABRB1,2562 GABRB3,2561 GABRB2,2565 GABRG1,2566 GABRG2,2567 GABRG3,2563 GABRD,2564 GABRE,55879 GABRQ,2568 GABRP,2569 GABRR1,2570 GABRR2,200959 GABRR3,81539 SLC38A1,54407 SLC38A2,27165 GLS2,2744 GLS,2897 GRIK1,2898 GRIK2,2899 GRIK3,2900 GRIK4,2901 GRIK5,116443 GRIN3A,116444 GRIN3B,1742 DLG4,9229 DLGAP1,85358 SHANK3,50944 SHANK1,22941 SHANK2,7220 TRPC1,9456 HOMER1,9455 HOMER2,9454 HOMER3,123745 PLA2G4E,5321 PLA2G4A,8681 JMJD7-PLA2G4B,100137049 PLA2G4B,8605 PLA2G4C,283748 PLA2G4D,255189 PLA2G4F,5337 PLD1,5338 PLD2,2778 GNAS,2912 GRM2,2913 GRM3,2914 GRM4,2916 GRM6,2917 GRM7,2918 GRM8,156 GRK2,157 GRK3,2752 GLUL,10991 SLC38A3,1103 CHAT,43 ACHE,1128 CHRM1,1131 CHRM3,1133 CHRM5,2767 GNA11,3784 KCNQ1,3785 KCNQ2,3786 KCNQ3,9132 KCNQ4,56479 KCNQ5,3759 KCNJ2,3768 KCNJ12,100134444 KCNJ18,3761 KCNJ4,3770 KCNJ14,1129 CHRM2,1132 CHRM4,5294 PIK3CG,23533 PIK3R5,146850 PIK3R6,2353 FOS,1139 CHRNA7,1137 CHRNA4,1141 CHRNB2,1136 CHRNA3,1143 CHRNB4,8973 CHRNA6,1385 CREB1,10488 CREB3,90993 CREB3L1,64764 CREB3L2,84699 CREB3L3,148327 CREB3L4,9586 CREB5,3717 JAK2,2534 FYN,60482 SLC5A7,121278 TPH2,7166 TPH1,1644 DDC,3356 HTR2A,3357 HTR2B,3358 HTR2C,1558 CYP2C8,1559 CYP2C9,1562 CYP2C18,1557 CYP2C19,1565 CYP2D6,1564 CYP2D7,107987479 CYP2D6,1573 CYP2J2,260293 CYP4X1,240 ALOX5,239 ALOX12,242 ALOX12B,246 ALOX15,247 ALOX15B,5742 PTGS1,3359 HTR3A,285242 HTR3E,200909 HTR3D,170572 HTR3C,9177 HTR3B,3360 HTR4,3362 HTR6,3363 HTR7,3781 KCNN2,3751 KCND2,351 APP,3350 HTR1A,3351 HTR1B,3352 HTR1D,3354 HTR1E,3355 HTR1F,3361 HTR5A,836 CASP3,1843 DUSP1,4129 MAOB,4128 MAOA,2571 GAD1,2572 GAD2,18 ABAT,6714 SRC,9001 HAP1,11337 GABARAP,23710 GABARAPL1,11345 GABARAPL2,66008 TRAK2,5334 PLCL1,10243 GPHN,57468 SLC12A5,2550 GABBR1,9568 GABBR2,92745 SLC38A5,7054 TH,1812 DRD1,1816 DRD5,50632 CALY,2774 GNAL,1386 ATF2,1388 ATF6B,84152 PPP1R1B,6323 SCN1A,1814 DRD3,1815 DRD4,1813 DRD2,408 ARRB1,409 ARRB2,5515 PPP2CA,5516 PPP2CB,5519 PPP2R1B,5518 PPP2R1A,5520 PPP2R2A,5521 PPP2R2B,5522 PPP2R2C,55844 PPP2R2D,28227 PPP2R3B,55012 PPP2R3C,5523 PPP2R3A,5526 PPP2R5B,5527 PPP2R5C,5528 PPP2R5D,5529 PPP2R5E,5525 PPP2R5A,2931 GSK3A,3798 KIF5A,3799 KIF5B,3800 KIF5C,9575 CLOCK,406 ARNTL,1312 COMT,220074 LRTOMT,4842 NOS1,2977 GUCY1A2,2982 GUCY1A1,2983 GUCY1B1,5592 PRKG1,5593 PRKG2,10842 PPP1R17,2895 GRID2,2781 GNAZ,2768 GNA12,10672 GNA13,4067 LYN,6261 RYR1,1392 CRH,1394 CRHR1,3479 IGF1,3480 IGF1R
has04720 Longterm potentiation ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04721 Synaptic vesicle cycle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
